Name,CompanyType,ValidationStatus,Phone_Type,Phone_Number,Email_Type,Email_Value,Email_Active,TaxID,Identifiers_Type,Identifiers_Value,Identifiers_Status,Address Input,Address Line 1,Address Line 2,City,State or Province,Country,Postal Code,Zip5,Zip4
Moore-Mills,LLC,Validated,Mobile,(973) 700-9122,HR,christopher.norton@mooremills.com,True,TAX96676,GST,hP06832,Expired,"242 Thomas Spring, Mcguireland, ME 24462-9372",242 Thomas Spring,,Mcguireland,ME,USA,24462-9372,24462,9372
"Moore, Williams and Martin",Public,Pending,Home,(217) 859-4887,Support,madison.craig@moore.com,False,TAX45511,EIN,fF78918,Inactive,"0499 Juarez Ways, East Mollyborough, AL 63105-7656",0499 Juarez Ways,,East Mollyborough,AL,USA,63105-7656,63105,7656
Baldwin-Matthews,Public,In Review,Office,(229) 214-2524,Personal,john.fuentes@baldwinmatthews.com,False,TAX24495,EIN,xg05857,Active,"8656 Lambert Vista Apt. 388, Apt. 175, Phillipston, FL 94764-3070",8656 Lambert Vista Apt. 388,Apt. 175,Phillipston,FL,USA,94764-3070,94764,3070
"Holmes, Wright and Brooks",Partnership,Approved,Mobile,(601) 408-3868,HR,stephen.warner@holmes.com,True,TAX41830,LEI,Fh64083,Inactive,"8371 Blair Lakes, Lewisland, WA 29172-3917",8371 Blair Lakes,,Lewisland,WA,USA,29172-3917,29172,3917
"Frank, Hernandez and Allen",Partnership,In Review,Mobile,(941) 938-3525,Sales,benjamin.ramos@frank.com,False,TAX52822,PAN,Wd17167,Inactive,"464 Craig Brook Suite 759, South Steven, MN 99583-2503",464 Craig Brook Suite 759,,South Steven,MN,USA,99583-2503,99583,2503
"Torres, Richardson and Moore",Government,Validated,Mobile,(207) 778-9859,Personal,jamie.castaneda@torres.com,True,TAX26453,DUNS,ls09521,Active,"01169 Lane Lake Apt. 278, Apt. 027, North Damon, VI 12450-4458",01169 Lane Lake Apt. 278,Apt. 027,North Damon,VI,USA,12450-4458,12450,4458
Higgins-Coleman,Private,Validated,Office,(685) 732-6656,Business,sarah.hawkins@higginscoleman.com,True,TAX50377,TIN,jA33499,Pending,"5718 Frank Via Apt. 578, Suite 932, Crystalside, NJ 27623-7118",5718 Frank Via Apt. 578,Suite 932,Crystalside,NJ,USA,27623-7118,27623,7118
"Baker, Robinson and Foster",Partnership,Rejected,Mobile,(593) 841-5117,Support,chad.wright@baker.com,True,TAX78699,DUNS,qA36557,Pending,"9476 Kelly Prairie, South Patrickbury, VT 75776-6161",9476 Kelly Prairie,,South Patrickbury,VT,USA,75776-6161,75776,6161
"Ayala, Hoffman and Morales",LLC,In Review,Fax,(639) 945-3461,Support,gary.hart@ayala.com,True,TAX38197,LEI,yS71755,Active,"23548 Wallace Center Suite 700, Apt. 476, West Carol, SD 50196-9472",23548 Wallace Center Suite 700,Apt. 476,West Carol,SD,USA,50196-9472,50196,9472
Fernandez LLC,Government,In Review,Home,(724) 280-6439,HR,stacy.ruiz@fernandez.com,True,TAX38012,TIN,ts89563,Inactive,"74934 Clayton Ranch, Farmerstad, KY 88882-9477",74934 Clayton Ranch,,Farmerstad,KY,USA,88882-9477,88882,9477
