Name,CompanyType,Address,Phone_Type,Phone_Number,ValidationStatus,Email_Type,Email_Value,Email_Active,TaxID,Identifiers_Type,Identifiers_Value,Identifiers_Status
"Harvey, Gilmore and Marsh",Non-Profit,"69945 Martinez Neck, East Danielstad, NY, USA - 21749-4353",Home,(835)500-7508,In Review,Sales,diana38@example.com,False,TAX22436,TIN,AW70980,Active
Velazquez-Franklin,Public,"62721 Hill Square Suite 126, Hamptonfurt, AR, USA - 75035-9850",Office,(437)663-3650x782,Pending,HR,raymondacosta@example.org,True,TAX62753,LEI,Iw32680,Active
Snyder Inc,Private,"05529 Gallagher Meadows Suite 546, Lake Theresafort, FM, USA - 80553-2599",Fax,418.530.0149,Rejected,HR,xwhitaker@example.net,True,TAX75227,GST,oV33891,Inactive
Mercado Inc,Non-Profit,"179 Cross Point, New Lauratown, OK, USA - 22840-4014",Mobile,9102137092,Pending,Support,chasehardin@example.org,True,TAX82809,PAN,Ir70821,Inactive
"Flynn, Miller and Benton",Partnership,"18201 Tiffany Skyway, South Chelseafort, CO, USA - 84360-4609",Fax,4368954118,Approved,Personal,travisjoann@example.com,False,TAX28206,TIN,uW36666,Inactive
Hunt Inc,Non-Profit,"451 Mendoza Causeway Suite 615, South John, MN, USA - 26014-2288",Office,+1-696-298-5844x04807,In Review,Personal,barnesdeborah@example.org,True,TAX38839,GST,Mi02346,Active
"Hood, Jackson and Fleming",Private,"764 Ricky Lights Suite 770, East Harry, NJ, USA - 78336-3522",Mobile,863.690.5008x8754,Approved,Business,zlopez@example.org,False,TAX35170,LEI,Qm87007,Inactive
Benton PLC,Private,"2928 Johnson Mews, Lake Michaeltown, MO, USA - 27642-9572",Mobile,001-382-915-4040x47951,Approved,Support,lisajordan@example.net,False,TAX88481,TIN,Wb05685,Inactive
"Cooke, Lawson and Sellers",Non-Profit,"71079 Amy Park, Port Codyport, ME, USA - 77625-7865",Mobile,001-733-671-3621,Approved,HR,cody64@example.net,False,TAX34182,PAN,Gl17040,Inactive
"Stephens, Porter and Jones",Non-Profit,"1164 Cain Mill Suite 624, North Arthurberg, NV, USA - 15734-6954",Fax,252-674-1146x461,Pending,Support,lmoss@example.org,False,TAX96012,GST,Vd30691,Inactive
Fuentes-Cole,Private,"857 King Key Apt. 395, Brianborough, SC, USA - 71773-3561",Mobile,+1-514-934-1554,Pending,Sales,colleenpope@example.org,True,TAX48032,GST,zT77076,Inactive
Michael-Bird,Government,"4879 John Pine Apt. 660, Lake David, DC, USA - 42839-4777",Home,001-332-201-0543,Approved,HR,oburns@example.net,False,TAX88972,PAN,VZ29429,Active
Patterson-Hess,Private,"142 Sutton Overpass, Robinsonfort, CO, USA - 74592-3152",Home,(518)297-8454x95214,Validated,Personal,rmendoza@example.com,False,TAX56530,DUNS,Lp65656,Inactive
"Washington, Myers and Bruce",Non-Profit,"35223 Taylor Way Suite 218, Danielton, SD, USA - 57157-9044",Mobile,449.779.9861x48162,Pending,Support,hwright@example.org,True,TAX32327,GST,ig43900,Inactive
"Jennings, Foley and Raymond",LLC,"949 Linda Light, Reyesview, GU, USA - 61865-3606",Home,001-733-339-2396,Approved,Personal,ryanwright@example.net,False,TAX25735,DUNS,ZW85131,Inactive
"Phillips, Anderson and Munoz",LLC,"6474 Macias Course Apt. 980, Howellside, ME, USA - 46372-6250",Home,(311)647-4918x8620,Validated,Support,roseapril@example.com,True,TAX70612,EIN,fp29793,Active
Copeland-Castillo,Public,"91909 Duncan Oval Apt. 029, Mooreton, PW, USA - 42632-6385",Office,(973)756-8014x70357,Approved,HR,morriscarol@example.net,True,TAX94776,GST,vu32164,Inactive
Andrews-Smith,Private,"0392 Dawn Station, Rebeccaton, AS, USA - 65087-9494",Fax,744-887-0371,Validated,Business,gilbertnovak@example.net,False,TAX55253,GST,ba82679,Inactive
"Ball, Collins and Gentry",Government,"18386 Katherine Highway, North Kristen, WI, USA - 75324-8603",Mobile,7876615292,Approved,Personal,davenportbreanna@example.net,True,TAX85030,TIN,og03003,Inactive
Oliver-Mendez,Non-Profit,"5596 Smith Road, East Richardville, MD, USA - 96211-6169",Office,(678)603-8028,Pending,Personal,jonesmichael@example.org,False,TAX91901,PAN,FO00481,Inactive
Myers and Sons,Government,"57237 Cassandra Ports, Lake Charles, NV, USA - 97963-1847",Office,455.615.6328x3737,Validated,Support,kimberlypatterson@example.net,True,TAX19167,TIN,JO47764,Inactive
"Preston, Rice and Pruitt",Non-Profit,"6438 Stephen Cliffs Apt. 388, East Valerie, GA, USA - 53493-8248",Office,001-424-676-5667x601,Validated,Support,swilliams@example.net,False,TAX87281,EIN,tf26315,Active
